Erreur	Correction	Fréquence	
tgb	tib	1 
clafliques	classiques	1 
dusecond	seconde	1 
tchun-tfiou	chun-tfiou	1 
lild	lid	1 
c’eft	c’est	1 
repréfente	repréfente	1 
fur	fur	5 
diverfes	diverses	1 
fur	fur	5 
fur	fur	5 
fur	fur	5 
fur	fur	5 
ainfi	ainsi	1 
fignifîent	finiîent	1 
vifdeîau	videîau	1 
iij	ii	1 
efl	el	1 
l’hiftoire	l’histoire	1 
efl	el	1 
règnes	règnes	1 
lefquelles	lesquelles	1 
gouvernoient	gouvernoient	1 
tchun-tfiou	chun-tfiou	1 
c’eft-à-dire	c’est-à-dire	1 
efl	el	1 
eft	eft	1 
eft	eft	1 
repréfenté	représenté	1 
facesy	faces	1 
fa	fa	1 
avoit	avoit	1 
fujets	sujets	1 
l’enfeignoit	l’enseignait	1 
iij	ii	1 
fentences	sentences	1 
circonftances	circonstances	1 
foiblefse	faiblesse	1 
étoit	étoit	1 
exprimoieut	exprimoieut	1 
étoitle	étoile	1 
hiftorique	historique	1 
loates	coates	1 
infirmerions	infirmerions	1 
l’occafion	l’occasion	1 
vïj	vïj	1 
eût	eût	1 
nécefsairement	nécessairement	1 
devoit	devait	1 
fentir	sentir	1 
connoître	connoître	1 
néceflîté	néreflîté	1 
fuivre	suivre	1 
renfermoient	renfermoient	1 
c’efl	c’el	1 
lorfque	lorsque	1 
néceflîté	néreflîté	1 
profirent	profitent	1 
s’introduifent	s’introduisent	1 
fe	fe	2 
fe	fe	2 
refpect	respect	1 
adminiftrateurs	administrateurs	1 
plufieurs	plusieurs	1 
fieclcs	fields	1 
refpecl	respect	1 
fe	fe	1 
foldats	soldats	1 
fages	fages	1 
puifsance	puissance	1 
pafse	passe	1 
oppofer	opposer	1 
pallions	allions	1 
pouvoit	pouvoir	1 
l’impoflîbilité	l’implîbilité	1 
inftruire	instruire	1 
caufe	cause	1 
caufe	cause	1 
défolbient	défilaient	1 
efprits	esprits	1 
fagacké	baracké	1 
xiij	xiii	1 
fimplicité	simplicité	1 
doué	doué	1 
afsez	assez	1 
fagacité	fagacité	1 
fouvenir	souvenir	1 
fubfîitoit	fbfîtoit	1 
rétablifsement	rétablissement	1 
0"uvernement	0"gouvernement	1 
s’emprefsa	s’empressa	1 
pofsédoit	possédoit	1 
rendoit	rendit	1 
etdonnoit	entonnoir	1 
fuccès	succès	1 
jufqu’à	jusqu’à	1 
fubiïltcr	subiïlcr	1 
beftiaux	bestiaux	1 
remplifsoit	remplissait	1 
lorfqu’il	lorsqu’il	1 
fortit	sortit	1 
claffiques	classiques	1 
difciples	disciples	1 
préfidence	présidence	1 
juftice	justice	1 
défintérefsement	déintéressement	1 
univerfellement	universellement	1 
miniftre	ministre	1 
pofseiïion	posteïion	1 
chao-tching-mao	chao-thing-mao	1 
caufoit	autorit	1 
défordre	déordre	1 
furprit	surprit	1 
difciples	disciples	1 
étoit	étoit	1 
cona	cons	1 
artificieufe	artificielle	1 
menfonges	mensonges	1 
faufseté	fausseté	1 
heureufe	heureuse	1 
plailance	plaisance	1 
courtifan	courtisan	1 
fubitement	subitement	1 
réfolut	résolut	1 
hift	hit	1 
svïj	svïj	1 
préfent	présent	1 
reçut	reçut	1 
préfent	présent	1 
fon	fon	1 
fortit	sortit	1 
fe	fe	1 
princefse	princesse	1 
époufe	épouse	1 
où	où	1 
attendoit	attendait	1 
fpectacle"	spectacle"	1 
ah	ah	1 
confu«	connu«	1 
n’avois	n’avoir	1 
jufqu’ici	jusqu’ici	1 
venta«	vente«	1 
blement	lement	1 
fe	fe	1 
plût	plût	1 
cornb	corne	1 
iij	ii	1 
pagnie	pagne	1 
plaifir	plaisir	1 
fe	fe	1 
afsez	assez	1 
difpofition	disposition	1 
doetrine	doctrine	1 
pafsa	passa	1 
priacipautéde	principautéde	1 
difciples	disciples	1 
inftruifoït	intrusionït	1 
préfident	président	1 
fabre	fabre	1 
portoit	portait	1 
paroître	paroître	1 
avoit	avoit	1 
difciples	disciples	1 
fe	fe	1 
afsez	assez	1 
tien	tien	1 
miniftres	ministres	1 
confidéroit	considérait	1 
ainfi	ainsi	1 
pafsé	pasé	1 
eft	eft	1 
eft	eft	1 
miniftres	ministres	1 
l’appellcr	l’appeller	1 
fentit	entit	1 
confacra	consacra	1 
expliqua	expliqua	1 
difciples	disciples	1 
eompofa	composa	1 
penfeigner	enseigner	1 
hilt	hill	1 
genér	genér	1 
xsj	xj	1 
perfuader	persuader	1 
propofoit	proposait	1 
d’amufer	d’amuser	1 
courtifans	courtisans	1 
fuperficiels	superficiels	1 
cmpire	empire	1 
avoit	avoit	1 
falloit	fallait	1 
l’expoiîtion	l’exposîtion	1 
fimplicité	simplicité	1 
acceffible	accessible	1 
vouloit	voulait	1 
pafsager	passager	1 
étoit	étoit	1 
avoit	avoit	1 
empe-	emp-	1 
xxij	xxie	1 
b	b	1 
efptits	petits	1 
impreffion	impression	1 
étoit	étoit	1 
l’cfprit	l’esprit	1 
favoit	favoit	1 
donnoit	donnoit	1 
