Erreur	Correction	Fréquence	
mistère	mistère	1 
garderobe	garderie	1 
tgb	tib	1 
duren	dure	1 
mistere	mister	1 
mediter	mediter	1 
obfervations	observations	1 
hiftoriques	historiques	1 
ufages	usages	1 
diverfes	diverses	1 
natiods	nations	1 
fujct	fut	1 
vangkis	anglais	1 
duren	dure	1 
dofleur	douleur	1 
miftère	mitère	1 
leart	heart	1 
fur	fur	1 
garderobe	garderie	1 
fat	fat	1 
jiaura	aurait	1 
tradutlton	traduction	1 
françoife	françoise	1 
gotjt	gott	1 
font	font	1 
penfces	rences	1 
monfieur	monsieur	1 
efl	el	1 
d’imprejjîon	d’importeîon	1 
c’efl	c’el	1 
reelifier	rectifier	1 
penfées	pensées	1 
enfemble	ensemble	1 
affez	effet	1 
foient	soient	1 
mistere	mister	1 
mediter	mediter	1 
garderobe	garderie	1 
rethorique	thoracique	1 
venerable	ventrale	1 
tems	tems	1 
fuis	fois	1 
manquoic	manquait	1 
occafion	occasion	1 
fuivant	suivant	1 
c’eft	c’est	1 
doéteur	doéteur	1 
ffwward	forward	1 
plaifir	plaisir	1 
choies	choses	1 
fouterraines	souterraines	1 
fuffifent	suffisent	1 
tems	tems	1 
microcofme	microcosme	1 
confiderable	confiderable	1 
chofe	chose	1 
vile	vile	1 
profeflîon	profilîon	1 
efl	el	1 
connoitre	connaitre	1 
compofition	composition	1 
illuftre	illustre	1 
monfieur	monsieur	1 
vafe	vale	1 
incftimable	infatigable	1 
fes	fes	1 
vafe	vale	1 
eft	eft	1 
poflîble	polîble	1 
tréfors	tréfors	1 
tpendant	pendant	1 
fon	fon	1 
oucl	nucl	1 
reviendroit1l	reviendrait1l	1 
tl-y	il-y	1 
eft	eft	1 
fulceptible	susceptible	1 
pourois	pourris	1 
chofcs	chocs	1 
monfieur	monsieur	1 
nuis	puis	1 
fiile	fille	1 
pcrfonne	personne	1 
refpcét	renceét	1 
perfonr	perfor	1 
mon	mon	1 
faitcs	faits	1 
profeflion	profession	1 
gloricufe	glorieuse	1 
fuis	fois	1 
difciple	disciple	1 
mistere	mister	1 
mediter	mediter	1 
ignorans	ignorant	1 
cbefttr	better	1 
eft	eft	1 
chofes	choses	1 
fon	fon	1 
saifons	saisons	1 
paflent	parlent	1 
c’eft	c’est	1 
ainfi	ainsi	1 
perfonnes	personnes	1 
fexe	fixe	1 
loient	soient	1 
fafle	fable	1 
paroitrc	profiter	1 
faufles	finales	1 
fe	fe	1 
choccs	chocs	1 
fon	fon	1 
cb-er	cb-er	1 
fouhaiter	souhaiter	1 
intcilins	inutilis	1 
fenfibles	sensibles	1 
caufe	cause	1 
fommes	hommes	1 
auffi	suffi	1 
difcours	discours	1 
addref-	cadre-	1 
mistere	mister	1 
dreffc	direct	1 
fur	fur	1 
penfe	pense	1 
chofis	chois	1 
fouvent	fouvent	1 
foient	soient	1 
lont	lont	1 
fe	fe	2 
purgent	purent	1 
pctits-nlaitres	petits-navires	1 
medccine	medicine	1 
confervcr	conserver	1 
fcmblent	semblent	1 
connoitre	connaitre	1 
refpetter	respecter	1 
forte	forte	1 
puifqu’ils	puisqu’ils	1 
fe	fe	2 
fuperficielles	superficielles	1 
puifque	puisque	1 
compofitions	compositions	1 
fervi	servi	1 
fans	fans	1 
difpoíïtion	dispoíïtion	1 
c’eft	c’est	1 
nuifiblcs	nuisibles	1 
inteilins	inutilis	1 
c’eft	c’est	1 
vetfé	vetoé	1 
philofophe	philosophe	1 
loix	loix	1 
lefquelles	lesquelles	1 
raifonner	raisonner	1 
fur	fur	1 
taifon	taifon	1 
délayez	délaye	1 
robuile	mobile	1 
laide	laide	1 
phificiens	physiciens	1 
mcde-	mode-	1 
voudrois	voudrais	1 
iecom,.nla"der	iecom,.la"der	1 
pcrlonnes	personnes	1 
jufiit	finit	1 
mtjlere	majeure	1 
cb-ric	cb-ric	1 
fervir	servir	1 
ppur	pour	1 
perfcétionner	percétonner	1 
tk	tk	1 
elt	elt	1 
aflez	allez	1 
fens	fens	1 
fonhaut-de-chauf	fonhaut-de-chaud	1 
penfces	rences	1 
phnfe	chine	1 
îgnifie	îunifie	1 
foit	fait	1 
raifon	raison	1 
cíprits	cípris	1 
eft	eft	1 
perfonne	personne	1 
fe	fe	1 
infulié	inquié	1 
s’élc"c	s’éla"c	1 
dâiis	dâiis	1 
inteftins	intestins	1 
pii-ticuless	pii-articles	1 
diveifement	diversement	1 
operent	peuvent	1 
afïeûent	afïeûent	1 
b	b	1 
blâmeront	blâseront	1 
chofes	choses	1 
fauroit	aurait	1 
phittoire	histoire	1 
fache	fache	1 
fe	fe	1 
pafle	parle	1 
n’eft	n’est	1 
confpirations	confpirations	1 
projettez	projette	1 
ité	ité	1 
comptoient	comptaient	1 
fur	fur	1 
foit	fait	2 
foit	fait	2 
particuliere	particulier	1 
devoit	devait	1 
fuccès	succès	1 
c’eit	c’est	1 
fa	fa	3 
fa	fa	3 
c’cft	c’cft	1 
fa	fa	3 
j’ofe	j’ose	1 
aflurer	assurer	1 
cefar	cesar	1 
n’auroit	n’aurait	1 
fes	fes	1 
n’avoit	n’avoit	1 
auffi	suffi	1 
réuait	réunit	1 
fon	fon	1 
feroit	feront	1 
l’avoit	l’avoit	1 
l’ufage	l’usage	1 
c’elt	c’est	1 
ufage	usage	1 
reitaurateurs	restaurateurs	1 
inteftins	intestins	1 
couful	couple	1 
excremens	errements	1 
n’étvoit	n’évoit	1 
choies	choses	1 
perfonne	personne	1 
n’auroit	n’aurait	1 
refufer	refuser	1 
choifir	choisir	1 
fidcllcs	ficelles	1 
intelligens	intelligent	1 
aurpit	aurait	1 
dangereufe	dangereuse	1 
auroit	aurait	1 
cafcd	cadre	1 
fes	fes	1 
itr.	itr.	1 
pourrois	pourrons	1 
thiftoire	histoire	1 
afluitîns	auraitîns	1 
dins	dins	1 
c’eft	c’est	1 
brave	brave	1 
ayent	ayant	1 
normans	normand	1 
fingulier	singulier	1 
indignement	dignement	1 
edric	eric	1 
étoit	étoit	1 
dins	dins	1 
l’avois	l’avoir	1 
lur	lur	1 
pouvois	pouvoir	1 
fàllût	fàllût	1 
rifquer	risquer	1 
auti-ementtu	anti-rement	1 
aurois	aurais	2 
découveit	découvert	1 
tiahifon	trahison	1 
aurois	aurais	2 
péiir	péiir	1 
l’aflaflîn	l’affluxîn	1 
fur	fur	1 
maflacre	massacre	1 
fupplice	supplice	1 
mauvaife	mauvaise	1 
pynoniens	pynoniens	1 
efprits	esprits	1 
pcnrécs	pcrécs	1 
ccux-nlêmcs	ceux-nlêmcs	1 
plaitantcr	plaitantcr	1 
meffieurs	meilleurs	1 
affcâez	affâez	1 
bcaux-cfprits	beaux-compris	1 
auffi	suffi	1 
cbaldéens	chaldéens	1 
l’cnfcignèrcnt	l’confinèrent	1 
lefqucls	lesquels	1 
mistere	mister	1 
felon	selon	1 
l’exigeoient	l’exigeaient	1 
furpris	surpris	1 
pallant	pallant	1 
s’eit	s’est	1 
jufqu’à	jusqu’à	1 
prtfque	presque	1 
méconnoiífablc	méconvoiífable	1 
l’avoient	l’avoient	1 
fa	fa	1 
premicrc	premier	1 
fourgonner	couronner	1 
ordures	ordures	1 
l’hiftoire	l’histoire	1 
dégénéra	dégénéra	1 
fouiberie	fouiberie	1 
lotte	lotte	1 
délicatefle	délicatesse	1 
arufpices	auspices	1 
foibles	faibles	1 
enomacs	menaces	1 
l’infpeaion	l’inflation	1 
podrois	parfois	1 
efl	el	1 
n’ofe	n’ose	1 
hiftoriques	historiques	1 
n’eft	n’est	1 
fur	fur	1 
foient	soient	1 
eft	eft	1 
jutqu’à	jusqu’à	1 
préfent	présent	1 
perfonnes	personnes	1 
pofledé	policeé	1 
doékeurs	doéleurs	1 
fuis	fois	1 
idepte	adepte	1 
favuir	faire	1 
ouvrageci	ouvrage	1 
eit	eit	1 
propofe	propose	1 
denner	denner	1 
caraâèrc	caraâèrc	1 
conjîitutions	consîsituation	1 
marons	marins	1 
expofe	expose	1 
aifée	aifée	1 
fiile	fille	1 
rcgles	rcgles	1 
enfans	enfans	1 
puilîênt	puisîênt	1 
fituation	situation	1 
préfente	préfente	1 
fanté	fanté	1 
mistern	mister	1 
foit	fait	1 
("oit	("oit	1 
deflein	flexion	1 
aufli	aussi	2 
aufli	aussi	2 
pafler	parler	1 
trms	tres	1 
empreflement	empressement	1 
coutra-t-on	courra-t-on	1 
font	font	1 
acquei	acqui	1 
illances	finances	1 
tiouveront	trouveront	1 
fujets	sujets	1 
»ferrme	»ferme	1 
(es	(es	1 
difcours	discours	1 
fur	fur	1 
langes	langes	1 
falis	alis	1 
avanture	aventure	1 
tafles	tables	1 
filcnce	licence	1 
d-nc-n	d-ne-n	1 
oblib	oblig	1 
lecret	secret	1 
maitreiles	maitreiles	1 
leui	leur	1 
cliailes	sociales	1 
fur	fur	1 
cuillicre	cueillir	1 
pnionnkrs	pionniers	1 
evéquc	evéque	1 
fes	fes	1 
volans	volant	1 
apprentif	apprenti	1 
deitinépar	destinépar	1 
aldcrman	alarmant	1 
ion	ion	1 
dirputes	disputes	1 
se	se	1 
falle	falle	1 
wepmin-	termin-	1 
mistere	mister	1 
minfttr	infiltr	1 
dcm’trcra	cm’trcra	1 
défeite	défaite	1 
aufli	aussi	2 
aufli	aussi	2 
clifferens	clifferens	1 
lis	lis	1 
fes	fes	1 
caraétèlc	caraétèlc	1 
ck-e	ck-e	1 
tems	tems	1 
enviera	envier	1 
vulet	volet	1 
chamr	champ	1 
fnngc9	nonc9	1 
queles	quelles	1 
vinons	venons	1 
pasm’arroger	pas’arroger	1 
pofterité	profiteré	1 
fous	fous	1 
ufqu’à	ufqu’à	1 
licli	lili	1 
fur	fur	1 
milledeux	milledeux	1 
th-erte	th-perte	1 
je	je	2 
fiifant	faisant	1 
je	je	2 
jufqu’à	jusqu’à	1 
bieniéance	bienséance	1 
connois	connais	1 
genl	gens	1 
