Erreur	Correction	Fréquence	
plis	plis	1 
kl	kl	1 
tlde-naturauste	tude-naturaliste	1 
philomathique	philomathique	1 
rertrand	bertrand	1 
gommage	hommage	1 
’aìmnration	’aìmoration	1 
renfermé	renfermé	1 
disserter	desserte	1 
scibili	dibilit	1 
fund	fund	1 
colobes	colombes	1 
alouattes	alouettes	1 
hapalinés	palinés	1 
paraîtrai	paraîtrai	1 
scissure	fissures	3 
vëléphant	vëléphant	1 
makis	makis	1 
scissure	fissures	3 
scissure	fissures	3 
etc,	etc,	1 
yoilà	voilà	1 
j’inspirais	j’inspirait	1 
plis	plis	3 
plis	plis	3 
plis	plis	3 
externa	externe	1 
gyrosque	grotesque	1 
varias	vargas	1 
habet	habit	1 
factos	facto	1 
dicendum	descendu	1 
asini	asni	1 
voluit	voluait	1 
absque	basque	1 
usu	su	1 
anfractus	infarctus	1 
assiduo	assidu	1 
ruptionis	ruptions	1 
esset	esse	1 
esertim	estime	1 
quando	quand	1 
anatomia	anatomie	1 
saog	sang	1 
d’érasistratc	d’érasistrate	1 
amtome	atome	1 
physica	physico	1 
lugd,	luge,	1 
inquriitur	inquisiteur	1 
rjyri	carri	1 
prcbstant	percutant	1 
finem	fine	1 
ejus	jus	1 
compages	compagnes	1 
fractuosa	fractions	1 
existit	existait	1 
fabricari	fabricant	1 
uberiorem	superiore	1 
alimenti"	aliment"	1 
spirituosi	spirituels	1 
iieceptíonem	exceptíonem	1 
tiim	tim	1 
commodiorem	commodore	1 
spirituim	spirituel	1 
animalium	animalier	2 
quosdam	potsdam	1 
attamen	attaque	1 
minoris	minorit	1 
momenti	moment	1 
nécessitas	nécessita	1 
spirituum	spirituel	2 
animalium	animalier	2 
petitur	petit	1 
enim	anim	1 
varios	narios	1 
memorise	memorise	1 
distinctos	distinctes	1 
motusque	musique	1 
istos	istes	1 
eosdem	repose	1 
iterare	pierre	1 
idcirco	circonf	1 
spirituum	spirituel	2 
iium	lium	1 
laxes	taxes	1 
nempe	nemp	2 
istis	istes	1 
tanq	tant	1 
diversis	diverses	1 
cellulis	cellules	1 
sensibilium	sensibilit	1 
reservari	resterait	1 
illioc	illico	1 
occasione	occasion	1 
queant	quant	1 
hinc	sinc	1 
plicse	place	1 
istse	iste	1 
plures	pluies	1 
liomine	limine	1 
quovis	quipes	1 
nempe	nemp	2 
facultatum	facultatif	1 
superiorwn	superiore	1 
incertâ	invertâ	1 
fortuita	fortuite	1 
functionis	fonctions	1 
animalis	animales	1 
mutabilia	mutabilia	1 
unimi	unifi	1 
gyri	gri	1 
fele	file	1 
diataxi	diation	1 
quare	quatre	1 
bruta	brut	1 
qum	que	1 
instinctus	instincts	1 
exigentiœ	exigentœ	1 
y/illis	y/ellis	1 
sectateur	spectateur	1 
xyu*"	yu*"	1 
sard	tard	1 
dooiiées	dirigées	1 
sœmmering	sœderling	2 
yicq-d’azyr	vicq-d’azyr	1 
sœmmering	sœderling	2 
sectateurs	sectateurs	1 
phré-nologie	phré-nologie	1 
ïi-	ïi-	1 
