Erreur_détectée	Correction_proposée	Contexte	Fichier
confucius	confusions	   les livres classiques de l’empire de la chine  confuciuss (0551-0479 av j-c)    innovateur   paquet franço	5419000.txt
françois	François	fusions (0551-0479 av j-c)    innovateur   paquet françois-andré-adrien (1716-1790)    traducteur   noël fra	5419000.txt
françois	François	ois-andré-adrien (1716-1790)    traducteur   noël françois (1651-1729)    rgb (bnf- obvil)    les livres cla	5419000.txt
rgb	rob	790)    traducteur   noël François (1651-1729)    rgb (bnf- obvil)    les livres classiques de l’empire	5419000.txt
bnf	bof	   traducteur   noël François (1651-1729)    rob (bnf- obvil)    les livres classiques de l’empire de l	5419000.txt
obvil	obvia	aducteur   noël François (1651-1729)    rob (bof- obvil)    les livres classiques de l’empire de la chine	5419000.txt
cb	cab	ivres classiques de l’empire de la chine  tome 2  cbb30263946g      http//gallicabnffr/ark/12148/bpt6k	5419000.txt
http	TCP	e l’empire de la chine  tome 2  cab30263946g      http/gallicabnffr/ark/12148/bpt6k54190001  barrons aîn	5419000.txt
kings	King	deux sortes de livres classiques ou canonique les kingsou les livres canonique du premier ordre et les ss	5419000.txt
ssée	osée	g ou les livres canonique du premier ordre et les ssée-chu ou livres canonique second ordre les kings so	5419000.txt
kings	King	les osée-chu ou livres canonique second ordre les kingssont au nombre de cinq l’y-king le chu-kinglc thin	5419000.txt
king	King	 second ordre les King sont au nombre de cinq l’y-king le chu-kinglc thinking le tchun-tfiou et le lily 	5419000.txt
kinglc	King	e les King sont au nombre de cinq l’y-King le chu-kinglchinking le tchun-tfiou et le lily l’y-king remonte	5419000.txt
thinking	timing	 King sont au nombre de cinq l’y-King le chu-King thinkinge tchun-tfiou et le lily l’y-king remonte à la plu	5419000.txt
tchun	chu	 au nombre de cinq l’y-King le chu-King timing le tchunfiou et le lily l’y-king remonte à la plus haute t	5419000.txt
lily	l'île	nq l’y-King le chu-King timing le chu-tfiou et le lilye l’y-king remonte à la plus haute tome ii a a  an	5419000.txt
king	King	g le chu-King timing le chu-tfiou et le l'île l’y-king remonte à la plus haute tome ii a a  antiquité on	5419000.txt
ii	ici	et le l'île l’y-King remonte à la plus haute tome iii a a  antiquité on l’attribue en grande partie à 	5419000.txt
fo	fco	i a a  antiquité on l’attribue en grande partie à foo - hi c’eft un ouvrage qui par le moyen des emblè	5419000.txt
eft	est	quité on l’attribue en grande partie à fco - hi c’eft un ouvrage qui par le moyen des emblèmes explique	5419000.txt
difpolîtion	disposition	 montagnes sous terre signifient l’humilité et la difpolîtion ou la longueur de différentes lignes combinées fe	5419000.txt
king	King	r les effets de cette vertu (i) (i) notice de l’y-king par m vifdeîau à la fin de la traduction du chanc	5419000.txt
vifdeîau	Pas de correction trouvée	s de cette vertu (i) (i) notice de l’y-King par m vifdeîau à la fin de la traduction du chancing o b s e r v	5419000.txt
chancing	chancîmes	-King par m vifdeîau à la fin de la traduction du chancings o b s e r vat o n s ii le churning el l’hiftoire	5419000.txt
